,Race,Sex,Age,Occupation,Year,Male,B
0,B,F,26,Servant,1900,0,1
1,B,M,27,Drayman,1900,1,1
2,B,F,25,Laundress,1900,0,1
3,B,F,25,Servant,1900,0,1
4,B,F,8,At School,1900,0,1
5,B,M,46,Laborer,1900,1,1
7,B,M,19,Drayman,1900,1,1
9,B,M,12,At School,1900,1,1
12,B,M,21,Janitor,1900,1,1
17,B,F,58,Laundress,1900,0,1
18,B,F,35,Laundress,1900,0,1
19,B,F,23,Laundress,1900,0,1
20,B,F,18,Servant,1900,0,1
21,B,F,13,Servant,1900,0,1
22,B,M,56,Laborer,1900,1,1
24,B,M,20,Laborer,1900,1,1
25,B,F,39,Laundress,1900,0,1
26,B,M,20,Laborer,1900,1,1
31,B,F,24,Servant,1900,0,1
32,B,M,51,Laborer,1900,1,1
34,B,F,20,Laundress,1900,0,1
35,B,M,15,Coachman,1900,1,1
36,B,F,17,At School,1900,0,1
37,B,F,25,Laundress,1900,0,1
39,B,F,46,Servant,1900,0,1
40,B,M,21,Expressman,1900,1,1
41,B,F,19,Servant,1900,0,1
42,B,M,17,At School,1900,1,1
43,B,M,14,At School,1900,1,1
44,B,F,24,Laundress,1900,0,1
45,B,F,60,Laborer,1900,0,1
46,B,M,19,Laborer,1900,1,1
49,B,M,22,Laborer,1900,1,1
50,B,M,25,Laborer,1900,1,1
52,B,M,54,Laborer,1900,1,1
54,B,F,25,Servant,1900,0,1
55,B,F,48,Servant,1900,0,1
56,B,M,13,Servant,1900,1,1
57,B,M,10,At School,1900,1,1
58,B,F,28,Servant,1900,0,1
59,B,F,22,Servant,1900,0,1
60,B,F,30,Laundress,1900,0,1
61,B,F,15,At School,1900,0,1
62,B,F,11,At School,1900,0,1
65,B,M,28,Laborer,1900,1,1
66,B,M,31,Janitor,1900,1,1
67,B,M,29,Janitor,1900,1,1
69,B,F,29,Laundress,1900,0,1
70,B,M,30,Mason,1900,1,1
72,B,F,9,At School,1900,0,1
74,B,F,12,Nurse,1900,0,1
76,B,M,50,Laborer,1900,1,1
77,B,F,49,Laundress,1900,0,1
79,B,M,29,Laborer,1900,1,1
80,B,F,27,Laundress,1900,0,1
82,B,M,39,Laborer,1900,1,1
86,B,M,35,Laborer,1900,1,1
87,B,F,30,Cook,1900,0,1
88,B,F,14,At School,1900,0,1
90,B,F,63,Housework,1900,0,1
91,B,F,33,Laundress,1900,0,1
92,B,F,24,Laundress,1900,0,1
93,B,M,14,Drayman,1900,1,1
94,B,M,34,Laborer,1900,1,1
95,B,F,18,Laundress,1900,0,1
96,B,M,22,Bartender,1900,1,1
97,B,F,35,Laundress,1900,0,1
98,B,M,10,At School,1900,1,1
99,B,M,8,At School,1900,1,1
104,B,F,29,Seamstress,1900,0,1
105,B,F,27,Cook,1900,0,1
106,B,M,32,Laborer,1900,1,1
108,B,M,24,Janitor,1900,1,1
110,B,M,32,Laborer,1900,1,1
113,B,M,35,Laborer,1900,1,1
115,B,M,9,At School,1900,1,1
116,B,F,8,At School,1900,0,1
120,B,M,30,Laborer,1900,1,1
122,B,M,22,Laborer,1900,1,1
124,B,F,13,At School,1900,0,1
125,B,M,28,Laborer,1900,1,1
127,B,F,37,Laundress,1900,0,1
128,B,M,8,At School,1900,1,1
129,B,M,60,Cook,1900,1,1
131,B,M,55,Laborer,1900,1,1
132,B,M,36,Drayman,1900,1,1
134,B,M,10,At School,1900,1,1
135,B,F,9,At School,1900,0,1
136,B,M,57,Carpenter,1900,1,1
138,B,F,24,Seamstress,1900,0,1
139,B,F,24,Seamstress,1900,0,1
140,B,M,22,Barber,1900,1,1
142,B,F,18,At School,1900,0,1
143,B,F,17,At School,1900,0,1
144,B,F,16,At School,1900,0,1
145,B,F,14,At School,1900,0,1
146,B,M,12,At School,1900,1,1
147,B,M,23,Laborer,1900,1,1
149,B,M,87,Gardener,1900,1,1
150,B,M,81,Porter,1900,1,1
151,B,M,21,Laborer,1900,1,1
152,B,M,17,Tailor,1900,1,1
153,B,M,30,Tailor,1900,1,1
155,B,M,38,Teamster,1900,1,1
157,B,F,23,Cook,1900,0,1
158,B,M,21,Laborer,1900,1,1
159,B,F,19,Laundress,1900,0,1
160,B,F,17,Nurse,1900,0,1
162,B,M,12,Dishwasher (hotel),1900,1,1
163,B,F,11,Nurse,1900,0,1
164,B,F,9,At School,1900,0,1
169,B,F,10,At School,1900,0,1
170,B,M,30,Laborer,1900,1,1
171,B,F,27,Laundress,1900,0,1
172,B,M,25,Bricklayer,1900,1,1
173,B,F,35,Laundress,1900,0,1
174,B,M,19,Laborer,1900,1,1
178,B,F,28,Laundress,1900,0,1
179,B,F,11,At School,1900,0,1
180,B,M,10,At School,1900,1,1
181,W,M,26,Baker,1900,1,0
182,W,M,35,Baker,1900,1,0
184,W,M,57,Upholsterer,1900,1,0
185,B,M,38,Blacksmith,1900,1,1
187,B,M,8,At School,1900,1,1
189,B,M,22,Coachman,1900,1,1
190,W,M,45,Drummer,1900,1,0
191,B,M,38,Laborer,1900,1,1
193,B,F,12,At School,1900,0,1
195,B,M,24,Laborer,1900,1,1
196,B,M,55,Laborer,1900,1,1
198,B,F,38,Laundress,1900,0,1
200,B,M,38,Drayman,1900,1,1
203,B,M,63,Laborer,1900,1,1
205,B,M,18,Coachman,1900,1,1
206,B,M,17,Porter,1900,1,1
207,B,F,16,At School,1900,0,1
208,B,M,14,At School,1900,1,1
209,B,F,11,At School,1900,0,1
210,B,M,10,At School,1900,1,1
211,B,M,8,At School,1900,1,1
214,B,M,34,Laborer,1900,1,1
215,B,M,76,Chopping Wood,1900,1,1
217,B,M,29,Janitor,1900,1,1
219,B,M,24,Porter,1900,1,1
221,B,M,54,Drayman,1900,1,1
223,B,M,15,At School,1900,1,1
224,B,M,13,At School,1900,1,1
225,B,F,12,At School,1900,0,1
226,B,F,10,At School,1900,0,1
228,B,F,34,Laundress,1900,0,1
229,B,M,32,Laborer,1900,1,1
230,B,M,18,Barber,1900,1,1
233,B,M,15,At School,1900,1,1
235,B,M,22,Laborer,1900,1,1
239,B,M,40,Janitor,1900,1,1
240,B,M,18,Waitress,1900,1,1
241,B,M,31,Laborer,1900,1,1
243,B,M,20,Laborer,1900,1,1
246,B,F,10,At School,1900,0,1
247,B,F,23,Cook,1900,0,1
249,B,M,39,Carpenter,1900,1,1
251,B,M,34,Clergyman,1900,1,1
253,B,M,28,Musician,1900,1,1
258,B,M,47,Laborer,1900,1,1
259,B,F,20,Servant,1900,0,1
260,B,F,19,Servant,1900,0,1
261,B,M,15,Coachman,1900,1,1
262,B,F,14,Office Girl,1900,0,1
267,W,M,34,Stock Raiser,1900,1,0
270,W,F,11,At School,1900,0,0
271,W,M,8,At School,1900,1,0
273,B,M,27,Tailor,1900,1,1
277,B,F,37,Laundress,1900,0,1
278,B,M,30,Drayman,1900,1,1
279,B,M,15,Laborer,1900,1,1
280,B,M,56,Clergyman,1900,1,1
281,B,F,29,Laundress,1900,0,1
285,B,M,27,Laborer,1900,1,1
286,B,F,9,At School,1900,0,1
287,B,M,55,Carpenter,1900,1,1
288,B,M,44,Drayman,1900,1,1
289,B,M,44,Laborer,1900,1,1
290,B,M,41,Laborer,1900,1,1
294,B,F,14,At School,1900,0,1
295,B,M,40,Laborer,1900,1,1
300,B,M,48,Laborer,1900,1,1
302,B,M,45,Laborer,1900,1,1
304,B,F,32,Laundress,1900,0,1
305,B,M,10,At School,1900,1,1
306,B,M,12,At School,1900,1,1
307,B,F,43,Laundress,1900,0,1
308,B,F,15,At School,1900,0,1
309,B,F,50,Mid-wife,1900,0,1
310,B,F,26,Laundress,1900,0,1
313,B,F,53,Laundress,1900,0,1
314,B,F,27,Teacher,1900,0,1
315,B,M,21,Laborer,1900,1,1
316,B,M,57,Carpenter,1900,1,1
318,B,M,28,Laborer,1900,1,1
321,B,F,16,Cook,1900,0,1
322,B,F,26,Seamstress,1900,0,1
323,B,F,11,At School,1900,0,1
324,B,M,8,At School,1900,1,1
326,B,F,54,Laundress,1900,0,1
327,B,F,26,Seamstress,1900,0,1
328,B,M,23,Blacksmith,1900,1,1
329,B,F,15,At School,1900,0,1
330,B,M,29,Musician,1900,1,1
332,B,M,10,At School,1900,1,1
334,B,F,40,Nurse,1900,0,1
336,B,F,20,Seamstress,1900,0,1
337,B,M,18,Laborer,1900,1,1
338,B,M,16,Laborer,1900,1,1
339,B,M,13,At School,1900,1,1
340,B,M,45,Drayman,1900,1,1
341,B,F,30,Laundress,1900,0,1
342,B,M,11,At School,1900,1,1
343,B,M,27,Laborer,1900,1,1
346,B,M,50,Chopping Wood,1900,1,1
347,B,F,48,Laundress,1900,0,1
349,B,M,42,Chopping Wood,1900,1,1
350,B,M,24,Laborer,1900,1,1
351,B,M,22,Laborer,1900,1,1
352,B,F,37,Laundress,1900,0,1
353,B,F,19,Laundress,1900,0,1
354,B,M,22,Gravedigger,1900,1,1
355,B,F,25,Laundress,1900,0,1
356,B,M,20,Laborer,1900,1,1
357,B,M,9,At School,1900,1,1
359,B,M,40,Carpenter,1900,1,1
361,B,M,12,At School,1900,1,1
362,B,M,10,At School,1900,1,1
365,B,M,24,Drayman,1900,1,1
366,B,F,34,Laundress,1900,0,1
367,B,F,15,At School,1900,0,1
368,B,M,13,At School,1900,1,1
369,B,M,10,At School,1900,1,1
370,B,M,8,At School,1900,1,1
371,B,F,36,Laundress,1900,0,1
372,B,M,10,At School,1900,1,1
373,B,M,8,At School,1900,1,1
374,B,F,20,Laundress,1900,0,1
375,B,F,18,Laundress,1900,0,1
376,B,F,14,At School,1900,0,1
377,B,M,25,Bartender,1900,1,1
380,B,M,36,Laborer,1900,1,1
382,B,F,44,Laundress,1900,0,1
383,B,F,24,Cook,1900,0,1
384,B,F,16,At School,1900,0,1
385,B,F,35,Laundress,1900,0,1
386,B,F,48,Laundress,1900,0,1
388,B,M,14,At School,1900,1,1
389,B,M,25,Yardman,1900,1,1
390,B,F,21,Cook,1900,0,1
391,B,F,21,Cook,1900,0,1
392,B,F,27,Servant,1900,0,1
395,B,F,40,Cook,1900,0,1
396,B,M,52,Sexton,1900,1,1
398,B,M,18,Coachman,1900,1,1
399,B,M,16,At School,1900,1,1
400,B,F,10,At School,1900,0,1
402,B,M,21,Laborer,1900,1,1
403,B,M,41,Painter,1900,1,1
406,B,M,54,Bartender,1900,1,1
408,B,F,14,At School,1900,0,1
409,B,M,50,Laborer,1900,1,1
410,B,M,40,Drayman,1900,1,1
411,B,M,39,Cook,1900,1,1
413,B,M,30,Laborer,1900,1,1
416,B,M,76,Woodchopper,1900,1,1
418,B,M,30,Laborer,1900,1,1
422,B,M,29,Drayman,1900,1,1
424,B,M,26,Expressman,1900,1,1
