Latitude,Longitude,Street Address
-95.37702056,29.75841299,805 Arthur Street
-95.37708336,29.75848705,832 Arthur Street
-95.37708642,29.7587852,840 Arthur Street
-95.3770826,29.75841251,830 Arthur Street
-95.37702661,29.75900333,841 Arthur Street
-95.37708718,29.75885973,842 Arthur Street
-95.37702694,29.75903612,843 Arthur Street
-95.37702593,29.75893774,837 Arthur Street
-95.37708794,29.75893427,844 Arthur Street
-95.37702728,29.75906892,845 Arthur Street
-95.37708871,29.75900881,846 Arthur Street
-95.37702761,29.75910172,847 Arthur Street
-95.37708947,29.75908334,848 Arthur Street
-95.37702795,29.75913451,849 Arthur Street
-95.37709023,29.75915788,850 Arthur Street
-95.377091,29.75923242,852 Arthur Street
-95.377086,29.75819327,902 Arthur Street
-95.37702413,29.75818727,903 Arthur Street
-95.37702413,29.75818727,903 Arthur Street
-95.37708733,29.75815341,904 Arthur Street
-95.37702561,29.75814298,905 Arthur Street
-95.37708866,29.75811355,906 Arthur Street
-95.37702708,29.75809869,907 Arthur Street
-95.37708998,29.75807369,908 Arthur Street
-95.37709131,29.75803383,910 Arthur Street
-95.3770953,29.75791425,916 Arthur Street
-95.3770953,29.75791425,916 Arthur Street
-95.37709663,29.75787439,918 Arthur Street
-95.37771045,29.76025168,400 Burton Street
-95.37764909,29.759983,602 Burton Street
-95.37764929,29.75990205,702 Burton Street
-95.37764949,29.75982271,800 Burton Street
-95.37771158,29.75980179,825 Burton Street
-95.37771159,29.75980016,827 Burton Street
-95.37785681,29.75950042,1015 Chambers Street
-95.37830401,29.75949257,1101 Chambers Street
-95.37792565,29.75955336,1102 Chambers Street
-95.37806605,29.75955089,1104 Chambers Street
-95.37831441,29.75949239,1103 Chambers Street
-95.37834686,29.75954597,1108 Chambers Street
-95.37855284,29.75954467,1110 Chambers Street
-95.37873172,29.75949142,1113 Chambers Street
-95.37883849,29.75954608,1114 Chambers Street
-95.37891025,29.7594923,1115 Chambers Street
-95.37898131,29.75954679,1116 Chambers Street
-95.37908878,29.75949319,1117 Chambers Street
-95.37926695,29.75954821,1120 Chambers Street
-95.3795432,29.75954886,1202 Chambers Street
-95.37961249,29.75954891,1204 Chambers Street
-95.37968178,29.75954897,1206 Chambers Street
-95.37975107,29.75954902,1208 Chambers Street
-95.37982035,29.75954908,1210 Chambers Street
-95.37982041,29.75949494,1211 Chambers Street
-95.37995893,29.75954919,1214 Chambers Street
-95.37995899,29.75949505,1215 Chambers Street
-95.38002822,29.75954924,1216 Chambers Street
-95.38002828,29.75949511,1217 Chambers Street
-95.38009751,29.7595493,1218 Chambers Street
-95.38009757,29.75949516,1219 Chambers Street
-95.3801668,29.75954935,1220 Chambers Street
-95.3804465,29.75954812,1302 Chambers Street
-95.38051909,29.75954758,1304 Chambers Street
